#OTU ID	example1	example2	example3	example4	example5	example6
OTU_596	0	1	0	0	0	0
OTU_597	0	1	0	0	0	0
OTU_598	0	1	0	0	0	0
OTU_599	0	1	0	0	0	0
OTU_6	1	0	0	0	0	0
OTU_60	12	7	5	0	0	0
OTU_600	0	1	1	0	0	0
OTU_601	0	3	1	0	0	0
OTU_602	0	1	0	0	0	0
OTU_603	0	1	0	0	0	0
OTU_604	0	2	3	0	0	0
OTU_605	0	1	0	0	0	0
OTU_606	0	1	1	0	0	0
OTU_607	0	1	0	0	0	0
OTU_608	0	1	0	0	0	0
OTU_609	0	2	0	0	0	0
OTU_61	2	0	1	0	0	0
OTU_610	0	1	1	0	0	0
OTU_611	0	1	0	0	0	0
OTU_612	0	1	0	0	0	0
OTU_613	0	2	1	0	0	0
OTU_614	0	2	1	0	0	0
OTU_615	0	1	0	0	0	0
OTU_616	0	1	0	0	0	0
OTU_617	0	1	0	0	0	0
OTU_618	0	1	0	0	0	0
OTU_619	0	3	6	0	0	0
OTU_62	1	1	1	0	0	0
OTU_620	0	1	1	0	0	0
OTU_621	0	2	0	0	0	0
OTU_622	0	2	0	0	0	0
OTU_623	0	1	4	0	0	0
OTU_624	0	1	0	0	0	0
OTU_625	0	1	0	0	0	0
OTU_626	0	2	0	0	0	0
OTU_627	0	2	0	0	0	0
OTU_628	0	2	0	0	0	0
OTU_629	0	1	0	0	0	0
OTU_63	1	0	0	0	0	0
OTU_630	0	1	0	0	0	0
OTU_631	0	1	1	0	0	0
OTU_632	0	1	0	0	0	0
OTU_633	0	1	1	0	0	0
OTU_634	0	1	0	0	0	0
OTU_635	0	1	1	0	0	0
OTU_636	0	1	0	0	0	0
OTU_637	0	1	1	0	0	0
OTU_638	0	1	0	0	0	0
OTU_639	0	1	0	0	0	0
OTU_64	1	3	1	0	0	0
OTU_640	0	1	0	0	0	0
OTU_641	0	1	0	0	0	0
OTU_642	0	2	2	0	0	0
OTU_643	0	1	1	0	0	0
OTU_644	0	1	0	0	0	0
OTU_645	0	1	0	0	0	0
OTU_646	0	1	0	0	0	0
OTU_647	0	1	0	0	0	0
OTU_648	0	1	0	0	0	0
OTU_649	0	1	0	0	0	0
OTU_65	3	1	1	0	0	0
OTU_650	0	1	0	0	0	0
OTU_651	0	2	1	0	0	0
OTU_652	0	1	1	0	0	0
OTU_653	0	2	0	0	0	0
OTU_654	0	1	2	0	0	0
OTU_655	0	3	1	0	0	0
OTU_656	0	1	1	0	0	0
OTU_657	0	1	0	0	0	0
OTU_658	0	1	0	0	0	0
OTU_659	0	1	0	0	0	0
OTU_66	2	1	0	0	0	0
OTU_660	0	2	0	0	0	0
OTU_661	0	1	0	0	0	0
OTU_662	0	1	0	0	0	0
OTU_663	0	1	1	0	0	0
OTU_664	0	1	0	0	0	0
OTU_665	0	1	0	0	0	0
OTU_666	0	1	0	0	0	0
OTU_667	0	1	0	0	0	0
OTU_668	0	2	1	0	0	0
OTU_669	0	1	0	0	0	0
OTU_67	16	21	12	0	0	0
OTU_670	0	1	0	0	0	0
OTU_671	0	3	6	0	0	0
OTU_672	0	1	0	0	0	0
OTU_673	0	1	0	0	0	0
OTU_674	0	1	1	0	0	0
OTU_675	0	1	1	0	0	0
OTU_676	0	1	0	0	0	0
OTU_677	0	2	1	0	0	0
OTU_678	0	2	2	0	0	0
